BatteryMass,canard_mass,CfgID,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
891.532359754,1000.0,TestOperatingCost,403.098639945,53.2817185632,94.8544742583,183.048730655,1000.0,f250a88f-6807-4cab-a7ce-d2a84f9285fe,2.0,2.0,1020.0,1020.0,5753.31395724,385.038501323,550.0,50.0,30459.9567428,7.77448104644,751.677445176,2000.0,1951.67744518,0.0,1000.0,250.0
75.1637878207,1000.0,TestOperatingCost,333.894499481,37.7212149686,717.74736329,851.174967204,1000.0,8f53f42d-9552-4498-ab2a-3297df80a389,2.0,2.0,1020.0,1020.0,9917.83422762,394.634738925,550.0,50.0,192721.808337,1.21225493512,5289.10925053,2000.0,6489.10925053,1.0,1000.0,250.0
96.9803512744,1000.0,TestOperatingCost,2093.7572128,33.1904245382,111.221059669,198.417020885,1000.0,a257d5d2-5a76-4e83-bfd4-9f9a1bd572f6,2.0,2.0,1020.0,1020.0,7170.56608723,463.094558703,550.0,50.0,167270.940257,7.70281154955,5219.73488092,2000.0,6419.73488092,0.0,1000.0,250.0
779.929802275,1000.0,TestOperatingCost,307.400157636,43.15464587,279.530357644,371.050543107,1000.0,eaa45298-dcc6-420c-9dc1-639bee120524,2.0,2.0,1020.0,1020.0,9955.23281075,923.391352168,550.0,50.0,130718.961411,1.67951096212,3209.08200903,2000.0,4409.08200903,1.0,1000.0,250.0
667.612260111,1000.0,TestOperatingCost,173.010238366,60.5647048234,233.93490556,505.329944343,1000.0,bf06e5f6-bb92-42ef-bf32-1b12b11d8567,2.0,2.0,1020.0,1020.0,7266.18130214,287.607036349,550.0,50.0,43002.109033,8.35699555656,890.019295204,2000.0,2090.0192952,1.0,1000.0,250.0
550.666265923,1000.0,TestOperatingCost,136.085632034,61.4976940368,135.42905912,277.238523207,1000.0,2b78f527-9def-4407-a607-cea91c59c265,2.0,2.0,1020.0,1020.0,7438.59368642,436.4240202,550.0,50.0,46121.2484839,5.97126985843,929.967120008,2000.0,2129.96712001,1.0,1000.0,250.0
383.168288521,1000.0,TestOperatingCost,167.598113409,38.5856193076,272.99060074,753.540355093,1000.0,196d9789-3528-422d-8b43-e7962801367c,2.0,2.0,1020.0,1020.0,186.013952847,994.501603457,550.0,50.0,25249.8396351,9.98863579919,834.384718663,2000.0,2034.38471866,1.0,1000.0,250.0
753.115841824,1000.0,TestOperatingCost,370.571765762,63.0163397244,84.9578192305,151.223727486,1000.0,64734bad-d8e9-4477-acbd-d4010acf2efa,2.0,2.0,1020.0,1020.0,1379.79231887,692.227590806,550.0,50.0,43290.4735984,6.69490628317,866.972200983,2000.0,2066.97220098,0.0,1000.0,250.0
834.051874643,1000.0,TestOperatingCost,500.509609976,36.061366306,2185.59755749,4380.92759312,1000.0,93f84eb6-df99-4baa-b045-505e7efe2298,2.0,2.0,1020.0,1020.0,1558.82078034,73.4242232898,550.0,50.0,42323.6383556,9.99964119513,1353.65598398,2000.0,2553.65598398,1.0,1000.0,250.0
303.607638527,1000.0,TestOperatingCost,273.499466244,79.0187537946,95.1734854645,135.186486969,1000.0,20797288-60be-40ca-816e-2860b05d1269,2.0,2.0,1020.0,1020.0,2938.79899214,872.280389289,550.0,50.0,64818.4571295,4.96430909812,1000.29207013,2000.0,2200.29207013,0.0,1000.0,250.0
168.510980984,1000.0,TestOperatingCost,552.127390047,40.0012644088,1892.81375529,2545.2359825,1000.0,c57edefd-f025-4f9d-a61b-f407ca2bbac6,2.0,2.0,1020.0,1020.0,9553.6376707,378.353911225,550.0,50.0,133624.326233,7.79918774346,3520.50256181,2000.0,4720.50256181,1.0,1000.0,250.0
54.005465147,1000.0,TestOperatingCost,83.6227492471,65.2274045838,141.548964931,247.812514602,1000.0,a1fe5c8d-e2b4-45be-9c30-7196da37d229,2.0,2.0,1020.0,1020.0,9468.14351359,169.784015964,550.0,50.0,61876.7474389,3.40798134747,1128.63114413,2000.0,2328.63114413,1.0,1000.0,250.0
160.259982825,1000.0,TestOperatingCost,346.526196321,42.8932681536,791.12608219,988.470233219,1000.0,8c6d7f76-8f7c-45ec-99d5-e78122bdc955,2.0,2.0,1020.0,1020.0,5828.69735979,273.274183266,550.0,50.0,191007.335753,4.31542781286,4633.08422453,2000.0,5833.08422453,1.0,1000.0,250.0
906.343154809,1000.0,TestOperatingCost,171.964120928,39.4998016704,13.9402943317,30.0117537083,1000.0,2a428b53-9309-4f73-b032-e0e05668b323,2.0,2.0,1020.0,1020.0,6156.37272563,419.300038284,550.0,50.0,22710.6162353,2.01606483061,754.955196605,2000.0,1954.9551966,0.0,1000.0,250.0
494.940826734,1000.0,TestOperatingCost,285.134254328,69.8990340818,578.891228057,797.65355371,1000.0,97cad869-a4c6-4546-a5f0-bea0836cf952,2.0,2.0,1020.0,1020.0,6374.96465255,324.02705302,550.0,50.0,129955.729755,7.67700922885,2039.19206841,2000.0,3239.19206841,1.0,1000.0,250.0
390.051837254,1000.0,TestOperatingCost,1121.97019179,31.836778903,90.2808207555,174.245041293,1000.0,81fc8754-4afd-4082-970f-77540318116d,2.0,2.0,1020.0,1020.0,7066.57759722,913.904390346,550.0,50.0,80451.1194892,7.54382064901,2706.98678263,2000.0,3906.98678263,0.0,1000.0,250.0
502.848310818,1000.0,TestOperatingCost,168.191706144,72.7146964341,512.662223146,762.312046711,1000.0,fbf8751d-9af1-4ebf-810a-4579ca079e85,2.0,2.0,1020.0,1020.0,7795.68150546,916.624618434,550.0,50.0,51126.2211398,0.520731787893,883.10712479,2000.0,2083.10712479,1.0,1000.0,250.0
336.297203481,1000.0,TestOperatingCost,628.190042753,52.0724992496,90.5700169504,125.410432246,1000.0,bbe89ad3-e5de-4f03-8b52-7683a64f038a,2.0,2.0,1020.0,1020.0,4559.249145,450.96044154,550.0,50.0,145276.223846,4.49896370273,2969.88383387,2000.0,4169.88383387,0.0,1000.0,250.0
854.096478221,1000.0,TestOperatingCost,878.409024067,32.5425843935,2579.45905138,3217.57105146,1000.0,8ae38fc6-ddd8-4cb2-9428-bea15401a2d9,2.0,2.0,1020.0,1020.0,5350.86989016,132.20349341,550.0,50.0,163464.331897,8.76623222246,5203.09005088,2000.0,6403.09005088,1.0,1000.0,250.0
189.372702682,1000.0,TestOperatingCost,235.472653018,75.8661857915,108.8602907,122.501150975,1000.0,ca1c60d5-1728-4351-b329-2cdb864c3da6,2.0,2.0,1020.0,1020.0,2904.09064197,911.219274434,550.0,50.0,115719.433219,2.08570180892,1705.30975443,2000.0,2905.30975443,0.0,1000.0,250.0
753.739424238,1000.0,TestOperatingCost,228.479638159,45.2917052754,48.9462745518,99.4965034134,1000.0,f437decf-4f86-494f-a66f-e415cce53a8a,2.0,2.0,1020.0,1020.0,9289.47597375,357.340795193,550.0,50.0,18445.2130862,5.54186715609,587.253667621,2000.0,1787.25366762,0.0,1000.0,250.0
475.824475214,1000.0,TestOperatingCost,191.204378075,58.0881792087,246.774091453,400.607626637,1000.0,0e40fc68-6469-4524-9e9f-9d74d9930184,2.0,2.0,1020.0,1020.0,4743.12515973,453.764239778,550.0,50.0,81064.6570904,6.69418488171,1575.54481126,2000.0,2775.54481126,1.0,1000.0,250.0
412.166685452,1000.0,TestOperatingCost,210.134530548,53.056487619,48.9476793333,57.602268784,1000.0,52a1eb03-26f3-4138-bbfa-1fccf392e040,2.0,2.0,1020.0,1020.0,931.517057383,722.436881503,550.0,50.0,190049.135873,0.657344451805,3762.0150259,2000.0,4962.0150259,1.0,1000.0,250.0
